"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000675666.1",22.0722050798584,-24.3119589893351,3.02110639337558,-8.04736934874066,8.45925980243001e-16,1.66306026551559e-12
"ENST00000361771.7",16.1544838143625,-22.6287086537975,3.02196131385643,-7.48808680972829,6.98848008125855e-14,6.63267005229378e-11
"ENST00000441669.6",8.52476236924809,-21.7856449448107,2.98645968496922,-7.29480630676428,2.99089041693061e-13,2.4573066385191e-10
"ENST00000370378.5",212.894981615585,25.8873389924728,2.89218932220196,8.95077607601551,3.52991779642099e-19,6.47704616465288e-15
"ENST00000639037.1",17.8619600799316,-22.9666949898881,2.9847045576977,-7.69479676997038,1.41719246820046e-14,1.81423706504723e-11
"ENST00000685791.1",11.4513014728042,-22.1671053647784,3.02210628378204,-7.33498536558322,2.21745715247272e-13,1.90725568550259e-10
"ENST00000528667.7",40.4677495469257,23.7576001831682,2.97441761204051,7.98731156210107,1.37913231824383e-15,2.37240927257401e-12
"ENST00000675391.1",142.871137338274,7.33970962434223,1.55498315503891,4.72012162997261,2.35703661545964e-06,0.00150869528571171
"ENST00000524974.5",36.5216160233899,-23.9023578230037,2.98413899208692,-8.00980044374136,1.1489472258967e-15,2.04019670786889e-12
"ENST00000368382.5",31.8348759633464,7.29632707476931,1.83975840627766,3.96591587779822,7.31146478398935e-05,0.0379634615202821
"ENST00000328090.9",77.4788650887909,24.5429146965963,2.97419911651327,8.25194068558819,1.55842772010527e-16,4.28933853543173e-13
"ENST00000706612.1",55.1365499944801,-24.3841429476636,2.92616377729936,-8.33314359805536,7.87235823248418e-17,2.70843564764723e-13
"ENST00000703946.1",55.4811717312783,19.0477249098672,3.02097907895932,6.3051495598006,2.87915739900607e-10,2.11318636457449e-07
"ENST00000684201.1",45.561107309091,24.0129986322504,2.97465095624608,8.07254329514818,6.88487463863964e-16,1.40367294160443e-12
"ENST00000534779.5",19.03881586987,-22.8538802598801,3.02190776388118,-7.56273256683643,3.94688557812402e-14,4.17815789267294e-11
"ENST00000307198.11",47.7974454757041,1.05704560457142,0.254125195819135,4.15954664063983,3.18879902763605e-05,0.0180962701107507
"ENST00000706267.1",7.77334827539073,-21.6421187823441,3.02234222320116,-7.160710860672,8.02597727271346e-13,6.22261930888814e-10
"ENST00000646050.1",27.3521730718951,-23.5821230872898,2.98431730155294,-7.90201600715129,2.74428164579026e-15,4.44307269870049e-12
"ENST00000685328.1",303.315434470813,5.74459992949192,1.25022531475003,4.59485171330138,4.33057117769236e-06,0.0027089199047549
"ENST00000681156.1",8.7179446190722,-21.8781075585031,2.98731209953187,-7.32367654585924,2.41267821350997e-13,2.04324150183205e-10
"ENST00000651915.1",8.0861501214419,-21.6771235887574,3.02231323553065,-7.17236166454183,7.37148888571912e-13,5.79683355274543e-10
"ENST00000543672.6",157.615287100268,-25.8519563176147,2.98374628940037,-8.66426090229344,4.54451564322704e-18,4.16936587687865e-14
"ENST00000261187.8",31.8659916638283,-23.869864566275,2.548172256187,-9.36744543400416,7.43092118147798e-21,2.04524959138409e-16
"ENST00000680469.1",68.2652500752387,-24.9304990319617,2.98405211445212,-8.35457896704294,6.56665071483707e-17,2.58196015642597e-13
"ENST00000309041.12",86.1223158775414,-8.51706004676967,2.10871870677105,-4.0389740079706,5.36855131266418e-05,0.0284951891856669
"ENST00000687906.1",40.2000911270958,18.7565599328698,3.02101125973804,6.20870242453057,5.34238754486501e-10,3.77028727156646e-07
"ENST00000647500.1",112.302386618996,25.2690388736459,2.97416939841583,8.49616665651434,1.95954593964878e-17,9.80610230362239e-14
"ENST00000553892.2",525.239264168393,-10.6691937737226,2.19503564773536,-4.86060159648436,1.17029564616846e-06,0.000785625176032137
"ENST00000673822.2",56.4152396564841,5.0955226616671,1.20917313349061,4.2140554735594,2.50825636455589e-05,0.0145338934841798
"ENST00000553599.6",21.1318613456735,7.59046245585752,1.94454596921748,3.90346259539037,9.48262110379919e-05,0.0470261120631382
